aux;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC
-17-76;22,32;22,99;22,55;21,08;19,54;18,02;17,19;16,67;16,8;17,46;18,65;20,48
-17-75;21,44;21,98;21,72;20,64;19,75;18,78;18,15;17,77;17,71;18,18;18,89;20,24
-17-74;20,5;20,87;20,94;20,64;20,67;20,1;19,62;19,64;19,66;20;20,02;20,36
-17-73;18,28;18,71;18,72;18,63;18,84;18,66;18,26;18,24;18,11;18,37;18,03;18,24
-17-72;16,57;16,67;17,16;17,31;17,53;17,06;16,81;17,59;18,04;18,65;18,26;17,43
-17-71;14,19;14,31;14,7;14,33;14,02;13,22;12,96;14,12;14,93;15,99;16,02;15,23
-17-70;12,87;12,95;12,99;12,09;11,56;10,62;10,44;11,72;12,66;13,92;14,3;13,68
-17-69;13,63;13,47;13,2;12,2;11,91;11,2;11,27;12,54;13,4;14,44;14,66;14,01
-17-68;17,22;16,93;16,67;15,92;15,58;15,13;15,45;16,82;17,54;18,51;17,93;17,39
-17-67;20,03;19,71;19,57;18,97;18,4;17,96;18,34;19,91;20,99;21,85;20,87;20,27
-17-66;25,03;24,67;24,69;24,27;23,52;23;23,2;25,08;26,59;27,43;26,25;25,44
-18-76;22,88;23,64;23,23;21,63;19,89;18,02;17,04;16,59;16,81;17,67;18,98;20,97
-18-75;22,62;23,27;22,78;21,17;19,47;17,71;16,74;16,37;16,59;17,49;18,79;20,77
-18-74;22,04;22,65;22,16;20,62;19,23;17,81;16,91;16,6;16,63;17,37;18,51;20,34
-18-73;21,46;22,11;21,78;20,62;20;19,01;18,32;18;17,68;18,01;18,74;20,16
-18-72;19,71;20,18;20,25;20,2;20,23;19,71;19,25;19,01;18,81;18,95;18,98;19,39
-18-71;17,68;18,04;18,44;18,36;17,68;16,85;16,44;17,16;17,56;18,6;18,67;18,38
-18-70;15,2;15,54;15,88;15,47;14,42;13,23;12,92;14,33;15,29;16,78;17,03;16,38
-18-69;13,14;13,26;13,21;12,25;11,41;10,15;9,98;11,43;12,65;14,18;14,78;14,13
-18-68;14,08;14,03;13,76;12,87;12,52;11,51;11,5;12,86;13,82;15,11;15,33;14,55
-18-67;15,68;15,49;15,1;14,25;14,03;13,28;13,46;14,82;15,72;16,59;16,3;15,79
-18-66;20,33;19,86;19,69;18,97;18,33;17,81;18,09;19,62;20,82;21,66;20,91;20,43
-19-76;22,71;23,59;23,23;21,61;19,95;18,13;17,11;16,64;16,72;17,55;18,81;20,8
-19-75;22,9;23,65;23,15;21,46;19,76;17,94;16,92;16,52;16,69;17,66;18,98;21,02
-19-74;22,92;23,55;22,94;21,21;19,52;17,71;16,73;16,4;16,64;17,69;19,04;21,1
-19-73;22,71;23,27;22,61;20,91;19,44;17,73;16,84;16,64;16,78;17,73;19,02;21
-19-72;21,35;22;21,58;20,69;20,32;19,68;18,96;18,42;18,02;18,18;18,89;20,19
-19-71;20,78;21,31;21,4;21,24;20,6;19,85;19,33;19,63;19,65;20,24;20,34;20,69
-19-70;18,42;18,81;19,18;19,17;18;16,83;16,44;17,73;18,46;19,76;19,75;19,41
-19-69;14,44;14,58;14,74;13,91;12,15;10,56;10,14;11,84;13,3;15,18;16,08;15,75
-19-68;14,38;14,49;14,47;13,62;12,62;11,14;10,8;12,41;13,83;15,56;16,05;15,33
-19-67;14,03;14,07;13,69;12,9;12,76;11,63;11,53;12,97;14,18;15,19;15,21;14,44
-19-66;17,33;17;16,64;15,82;15,54;14,9;15,04;16,49;17,55;18,31;17,82;17,39
-20-76;22,14;23,1;22,75;21,22;19,64;17,97;16,99;16,45;16,42;17,2;18,34;20,26
-20-75;22,46;23,31;22,82;21,14;19,54;17,84;16,85;16,38;16,42;17,33;18,57;20,58
-20-74;22,7;23,4;22,78;21,02;19,42;17,69;16,71;16,33;16,45;17,49;18,78;20,87
-20-73;22,8;23,37;22,63;20,87;19,37;17,56;16,67;16,36;16,55;17,69;19,01;21,09
