COMUNA;LAT;LON;Region
Algarrobo;-33.369505;-71.671504;5
Alhue;-34.032765;-71.099172;13
Alto Bio bio;-37.880812;-71.637852;8
Alto del Carmen;-28.759452;-70.486389;3
Alto Hospicio;-20.268758;-70.104932;1
Ancud;-41.871679;-73.815168;10
Andacollo;-30.234226;-71.083761;4
Angol;-37.805511;-72.699564;9
Antártica;-62.200135;-58.96377;12
Antofagasta;-23.627929;-70.393005;2
Antuco;-37.329104;-71.674141;8
Arauco;-37.246422;-73.317279;8
Arica;-18.472343;-70.304841;15
Aysen;-45.40411;-72.687224;11
Buin;-33.728311;-70.738137;13
Bulnes;-36.742087;-72.298611;16
Cabildo;-32.425672;-71.065746;5
Cabo de Hornos;-54.947;-67.607;12
Cabrero;-37.037841;-72.401124;8
Calama;-22.454415;-68.92941;2
Calbuco;-41.772142;-73.132697;10
Caldera;-27.067669;-70.817826;3
Calera de Tango;-33.628746;-70.767807;13
La Calera;-32.786151;-71.197467;5
Calle Larga;-32.860595;-70.625349;5
Camarones;-19.160084;-70.180134;15
Camina;-19.31218;-69.426716;1
Canela;-31.390203;-71.429315;4
Canete;-37.797459;-73.393088;8
Carahue;-38.71198;-73.160265;9
Cartagena;-33.548241;-71.604567;5
Casablanca;-33.319027;-71.408715;5
Castro;-42.47126;-73.774275;10
Catemu;-32.780433;-70.963262;5
Cauquenes;-35.965022;-72.329081;7
Cerrillos;-33.50054;-70.711712;13
Cerro Navia;-33.434067;-70.729718;13
Chaiten;-42.92107;-72.709521;10
Chanco;-35.729;-72.53;7
Chanaral;-26.342245;-70.615539;3
Chepica;-34.728655;-71.275952;6
Chiguayante;-36.931573;-73.024878;8
Chile Chico;-46.542684;-71.723037;11
Chillan;-36.607518;-72.10238;16
Chillan Viejo;-36.62289;-72.131219;16
Chimbarongo;-34.709241;-71.041284;6
Cholchol;-38.602335;-72.845401;9
Chonchi;-42.625648;-73.774106;10
Cisnes;-44.729278;-72.679932;11
Cobquecura;-36.132167;-72.793775;16
Cochamo;-41.493516;-72.308492;10
Cochrane;-47.253807;-72.573913;11
Codegua;-34.037384;-70.660076;6
Coelemu;-36.489643;-72.704244;16
Coihueco;-36.628432;-71.832597;16
Coinco;-34.269585;-70.9516;6
Colbun;-35.699301;-71.406433;7
Colchane;-19.276139;-68.638806;1
Colina;-33.200444;-70.675164;13
Collipulli;-37.954464;-72.433023;9
Coltauco;-34.287657;-71.083906;6
Combarbala;-31.178776;-71.003792;4
Concepcion;-36.820135;-73.04439;8
Conchali;-33.392503;-70.668179;13
Concon;-32.93365;-71.52542;5
Constitucion;-35.333694;-72.413103;7
Contulmo;-38.015908;-73.230037;8
Copiapo;-27.372154;-70.326124;3
Coquimbo;-29.957999;-71.33958;4
Coronel;-37.034244;-73.140419;8
Corral;-39.889329;-73.427442;14
Coyhaique;-45.579509;-72.055461;11
Cunco;-38.931185;-72.032036;9
Curacautin;-38.440252;-71.88943;9
Curacavi;-33.406133;-71.133054;13
Curaco de Velez;-42.438689;-73.599756;10
Curanilahue;-37.477961;-73.343214;8
Curarrehue;-39.359587;-71.587406;9
Curepto;-35.093272;-72.019453;7
Curico;-34.982314;-71.233281;7
Dalcahue;-42.377628;-73.65188;10
Diego de Almagro;-26.391094;-70.047511;3
Donihue;-34.225168;-70.964534;6
El Bosque;-33.558974;-70.678757;13
El Carmen;-36.897654;-72.023337;16
El Monte;-33.681294;-70.985385;13
El Quisco;-33.393061;-71.690994;5
El Tabo;-33.46356;-71.648527;5
Empedrado;-35.592941;-72.27771;7
Ercilla;-38.06407;-72.376011;9
Estacion Central;-33.448395;-70.712575;13
Florida;-36.82469;-72.655839;8
Freire;-38.956076;-72.627027;9
Freirina;-28.510273;-71.078677;3
Fresia;-41.152326;-73.42172;10
Frutillar;-41.122649;-73.04126;10
Futaleufu;-43.186;-71.867217;10
Futrono;-40.128517;-72.387296;14
Galvarino;-38.413298;-72.782913;9
