aux;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC
-17-68;0,06;-0,75;-1,38;-4,79;-6,72;-7,03;-7,38;-7,44;-6,42;-4,84;-2,70;-0,81
-17-67;4,62;4,26;3,66;1,42;-1,24;-2,46;-2,71;-2,01;-0,35;1,90;3,27;4,29
-17-66;4,75;4,45;3,88;1,90;-0,58;-1,46;-1,95;-1,33;0,02;2,22;3,28;4,52
-18-76;20,27;21,89;21,69;20,07;18,20;16,57;15,43;14,87;14,81;15,35;16,34;18,09
-18-75;20,79;22,31;21,90;20,12;18,12;16,37;15,26;14,73;14,79;15,35;16,60;18,49
-18-74;21,20;22,56;22,02;20,14;18,20;16,54;15,47;14,80;14,93;15,62;16,99;19,02
-18-73;21,42;22,70;22,14;20,20;18,26;16,70;15,64;14,99;15,13;15,87;17,27;19,31
-18-72;21,46;22,42;21,81;20,03;18,35;16,82;15,82;15,35;15,56;16,38;17,74;19,60
-18-71;20,50;21,36;20,57;18,74;17,11;15,64;14,71;14,41;14,53;15,45;16,77;18,62
-18-70;9,50;9,79;9,72;8,20;7,07;6,47;5,50;5,93;6,68;7,20;7,64;8,43
-18-69;-1,74;-2,06;-1,95;-4,71;-6,22;-6,68;-6,73;-6,81;-6,38;-5,32;-3,84;-2,53
-18-68;-0,20;-0,63;-0,68;-4,13;-6,48;-6,72;-6,96;-7,13;-6,27;-4,35;-2,26;-0,99
-18-67;0,73;0,03;-0,30;-3,58;-5,73;-6,15;-6,59;-6,55;-5,20;-3,36;-1,52;0,12
-18-66;3,08;2,69;2,04;-0,57;-3,48;-4,36;-4,84;-4,08;-2,31;0,34;2,00;2,73
-19-76;19,65;21,39;21,17;19,69;18,01;16,40;15,28;14,76;14,71;15,15;16,00;17,55
-19-75;20,14;21,76;21,35;19,69;17,86;16,12;15,07;14,53;14,51;15,06;16,11;17,84
-19-74;20,69;22,17;21,59;19,68;17,84;16,13;15,09;14,45;14,46;15,15;16,39;18,33
-19-73;20,93;22,30;21,63;19,72;17,85;16,22;15,16;14,54;14,58;15,31;16,61;18,62
-19-72;21,25;22,41;21,68;19,80;18,05;16,49;15,47;14,84;15,04;15,82;17,20;19,18
-19-71;21,25;22,26;21,51;19,71;18,09;16,59;15,59;15,07;15,28;16,10;17,43;19,36
-19-70;13,30;13,99;13,43;11,53;10,11;9,17;8,01;8,45;8,92;9,55;10,32;11,67
-19-69;-3,25;-3,49;-3,23;-5,25;-6,25;-6,58;-6,64;-6,77;-6,43;-6,00;-5,14;-4,14
-19-68;0,06;-0,55;-0,38;-3,48;-5,35;-5,98;-5,99;-5,90;-5,33;-3,98;-2,23;-1,03
-19-67;0,90;0,12;-0,21;-2,57;-4,70;-5,61;-5,85;-5,71;-4,52;-2,71;-1,34;0,16
-19-66;-0,69;-1,71;-2,44;-4,80;-6,33;-6,59;-6,93;-7,07;-6,51;-5,22;-3,56;-1,79
-20-76;19,07;20,76;20,52;19,17;17,67;16,17;15,09;14,54;14,58;14,93;15,72;17,05
-20-75;19,42;21,11;20,65;19,14;17,45;15,89;14,78;14,31;14,31;14,76;15,68;17,22
-20-74;19,93;21,46;20,85;19,08;17,33;15,75;14,67;14,08;14,12;14,74;15,81;17,59
-20-73;20,22;21,65;20,92;19,11;17,29;15,75;14,65;14,03;14,10;14,79;15,99;17,85
-20-72;20,58;21,81;20,99;19,13;17,51;15,97;14,86;14,29;14,38;15,20;16,57;18,43
-20-71;20,73;21,77;20,94;19,16;17,59;16,07;15,07;14,55;14,74;15,60;16,90;18,74
-20-70;15,87;16,59;15,73;13,80;12,01;10,88;9,91;10,04;10,43;11,41;12,51;14,06
-20-69;-2,33;-2,49;-2,61;-4,40;-5,41;-5,93;-6,47;-6,10;-5,50;-4,90;-4,11;-2,95
-20-68;-1,14;-1,79;-1,93;-4,45;-5,92;-6,17;-6,31;-6,44;-6,02;-5,18;-3,88;-2,76
